,Title,Plot,Genre
216,Headin' South,"As described in a film magazine,[3] a forest ranger known only as Headin' South (Fairbanks) goes forth in search of Spanish Joe (Campeau), a Mexican responsible for most of the treachery and outlawry along the U.S.-Mexican boarder. Headin' South gains quite a reputation as he goes along and finally believes himself worthy of joining Joe's band. in a whirlwind finish in which Joe is captured, Headin' South meets one of Joe's near victims (MacDonald) and falls in love with her.",romantic comedy
226,Mr. Fix-It,"As described in a film magazine,[3] because of his ability to fix things Dick Remington (Fairbanks) becomes known as ""Mr. Fix-It"" and enters the aristocratic home of the Burroughs as their nephew. Before long he has melted the stone hearts of three aunts and one uncle and won the heart of Mary McCullough (Hawley) in addition to setting aright the affairs of pretty Georgiana Burroughs (MacDonald) and Olive Van Tassell (Landis).",romantic comedy
247,The Venus Model,"As described in a film magazine,[3] Kitty O'Brien (Normand), a seamstress in the factory of Braddock & Co., in an effort to escape punishment from the foreman she had mimicked, flees into the manager's office. While explaining her presence she shows a bathing suit she has designed, John Braddock (Francis) embraces the idea and the display of the suit brings orders galore. When Braddock is compelled to take a rest, Kitty takes charge of the plant. She gives a young male applicant a job as office boy, but discovers he is the son of her employer, Paul Braddock (La Rocque), expelled from college. She frees him from an indiscreet love affair and, with the return of the elder Braddock, a romance is culminated.",romantic comedy
396,Mama's Affair,"As summarized in a film publication,[4] a prologue, which explains where the author got her idea for the story, shows Adam and Eve in the Garden of Eden. When the serpent tells Eve to bite the apple, Adam takes it away from her. The serpent then tells her to go into hysterics and Adam will give her the apple. Shifting to the modern story, Mrs. Orrin (Effie Shannon), Eve's (Constance Talmadge) mother, goes into hysterics at the thought of losing her daughter. Mrs. Orrin and Mrs. Merchant (Katharine Kaelred), who lives with them, have decided that Eve will marry Mrs. Merchant's son Henry (George LeGuere), an effeminate youngster with rimmed glasses. Fearing her mother's nerves, Eve is willing to marry Henry, so the four of them go to Mama Orrin's birthplace, where the wedding is scheduled to take place on her birthday. During the stay at the hotel Mama has one of her ""attacks"" and Dr. Harmon (Kenneth Harlan) is called in. He soon discovers the exact trouble and orders Mrs. Orrin to bed with instructions that she not even see her daughter. Mrs. Orrin disobeys these orders and then Eve's nerves give way, causing a second visit by the doctor. He takes Eve away from the mother, but after Henry accuses the doctor of being a fortune seeker, the doctor refuses to have anything to do with Eve. Finally, Eve's eyes are opened and she uses a ""treat 'em rough"" theory on her mother. Besides winning the love of her doctor, she cures her mother of her hysterics.",romantic comedy
452,Up and at 'Em,"Wishing to drive her father's car, Barbara Jackson (Doris May) dresses up in the chauffeur's uniform and sneaks out. For a lark, she picks up a passenger (John Gough), but it develops that passenger is part of a team of crooks who are planning to rob Bob Everett (Hallam Cooley), a rival of her father, of his precious artworks. Believing her to be an undercover detective, the bandit forces her to take part in the robbery and then abandons her to be caught by Everett. After convincing Everett that she was a forced accomplice and not the real thief, the two hurry to meet up with Barbara's father, William Jackson (Otis Harlan). He had just purchased one of the paintings from an art dealer (Harry Carter), and the dealer had left moments before Barbara and Everett arrive. As the two explain the deception, William informs him that he became suspicious when recognizing the painting as one owned by Everett and that he had the dealer held at the front gate. The police arrive and round up the crooks.",romantic comedy
492,Girl Shy,"Harold Meadows (Lloyd) is a tailor's apprentice for his uncle in Little Bend, California. He is so shy around women that he can barely speak to them (to stop his stuttering, his uncle has to blow a whistle). Despite this, Harold writes a ""how to"" book for young men entitled The Secret of Making Love, detailing how to woo different types of young women, such as ""the vampire"" and ""the flapper"" (in scenes that parodied two other popular films of the time, Trifling Women and Flaming Youth[citation needed]), and takes a train to see a publisher in Los Angeles.
The same day, rich young Mary Buckingham (Ralston) boards the same train after her automobile breaks down in Little Bend. No dogs are allowed aboard, so she hides her Pomeranian under her shawl, but her pet jumps off as the train pulls away. Harold rescues her dog and helps Mary hide it from the conductor. She sees his manuscript, so he starts telling her about his book, overcoming his stuttering in his enthusiasm. They become so absorbed in each other that neither realizes that the train has reached its final destination and everyone else has departed. Upon returning home, Mary rejects the latest in a string of marriage proposals from persistent suitor Ronald DeVore, a self-centered rich man who is almost twice Mary's age and who harbors no true feelings for her, but merely wants her as a trophy wife.
After her car is repaired, Mary intentionally detours through Little Bend repeatedly, hoping to see Harold again. On one such trip, Ronald is also along for the ride, and his unwanted attentions cause Mary to swerve and get her car stuck near the outskirts of Little Bend. While Ronald walks back to town for a tow, Mary goes for a walk and happens to reunite with Harold. After telling Mary about the remainder of his book, Harold informs her that he is going to see the publisher, Roger Thornby, in a few days to deliver a new chapter that will be about her. They agree to meet again afterward. Meanwhile, Ronald runs into a middle-aged woman who asks if he is finally going to introduce her to his family, but he stalls, then rides away in the tow-vehicle.
Mr. Thornby's professional readers find Harold's book hilariously absurd, so he rejects it. Without any royalty money, Harold figures he cannot ask Mary to marry him. So he pretends that he was only using her as part of his research. Heartbroken, Mary impulsively agrees to marry Ronald. Afterward, though, one of Mr. Thornby's senior employees convinces him that, if the staff liked the book so much, there must be a market for it, so Thornby decides to publish it as ""The Boob's Diary"".
A few days later, a depressed Harold gets a letter from the publisher, but just rips it up without opening it, assuming that it is a rejection notice. Fortunately, his uncle notices that one of the scraps is part of an advance royalty check for $3,000; the accompanying letter states that the book will be published as a comedy. At first, Harold is outraged, but then he realizes that he can propose to Mary after all. However, when he sees a newspaper headline announcing Mary and Ronald's wedding that same day at her family's estate, he gives up. By chance, the same woman whom Ronald had met a few days earlier walks in and, seeing the newspaper story, tearfully exclaims that she is Ronald's wife. As proof, she shows Harold a locket with the couple's wedding portrait and the engraved words ""to my wife"" that Ronald had given her two years earlier.
Harold embarks on a frenzied headlong dash, involving bootleggers, car chases and multiple changes of vehicle (from missing the train to various cars to a trolley to a police motorcycle to a horse-drawn wagon to horseback), through the countryside and along the crowded streets of Culver City and Los Angeles. He bursts in just in time, but he cannot stop stuttering long enough to expose Ronald's intended bigamy. So Harold simply carries Mary off. When they are alone, he tells her about Ronald's secret and shows her the locket. Mary gets Harold to propose (with an assist from a passing mail carrier's whistle), and she accepts.",romantic comedy
527,Dangerous Innocence,"On a ship sailing from England to India, Ann Church (Laura La Plante) meets young and dashing Major Anthony Seymour (Eugene O'Brien), falls in love and makes some innocent advances to gain his attentions. Ann is 19, but looks 15. The Major at first resists her advances because he believes she is that young, and later he holds back after learning that Ann's mother Muriel (Hedda Hopper) was his ex-girlfriend. Another passenger, Gilchrist (Jean Hersholt) who is a cad, takes advantage of Ann's naiveté and places her in a compromising position. To save her reputation, the Major proposes to Ann and she accepts. When they arrive in Bombay, Gilchrist gets even by telling Ann that the Major had had an affair with her mother, causing Ann to break the engagement. Angry, the Major follows Gilchrist off ship and thrashes him. As she prepares to return alone to England, the Major forces Gilchrist to admit to Ann that the relationship between the Major and Ann's mother was platonic and never romantic. The young couple reunite and are later married at sea.",romantic comedy
537,The King on Main Street,"King Serge IV of Molvania (Menjou) comes to a small American town, and falls in love with one of its residents, Mary Young (Love).[3][4]",romantic comedy
602,Kiki,"Kiki (Norma Talmadge) ekes out a living selling newspapers on the streets of Paris. When she learns that a chorus girl has been fired from the Folies Barbes revue managed by Victor Renal (Ronald Colman), she sets out to fulfill her dream and apply for the job. Poverty stricken, she spends her rent money to buy suitable clothes. She gets kicked out the first time, as she was not sent by the Agency, but manages to sneak back in. While waiting in the reception area, she is mistaken for the secretary by an Agency applicant, who gives Kiki her letter of recommendation to present to Renal. He mistakes it for Kiki's, and gives her an audition. Her singing talent gets her the job.
Her debut, however, is a disaster. She repeatedly gets in the way of the show's star and Renal's fiancée, Paulette Mascar (Gertrude Astor). Paulette finally pushes her, sending her crashing into a harp in the orchestra pit. When Renal tries to separate the battling women, Paulette slaps him.
Renal also sends Kiki a letter of dismissal. When she comes to see him, he feels sorry for her and gives her back her job. He tries to hustle her out of his office, before Paulette enters, but Kiki refuses to leave. As a result, Paulette and Renal have a falling-out.
Renal decides to take Kiki to dinner. Paulette goes out with Renal's financial backer, Baron Rapp (Marc McDermott), and ends up at the same restaurant. Determined to humiliate her rival, Paulette invites herself to Renal's table and taunts Kiki into drinking several glasses of champagne. Kiki becomes drunk, embarrassing Renal. He deposits her in his limousine and asks where she lives. As she has been evicted for not paying the rent, she confesses she has no place to go, so he takes her home.
He kisses her, but when he tries for more, she locks herself in his bedroom. He is forced to sleep (uncomfortably) in another room. Each day, Renal decides to get rid of her, but each night he relents. Meanwhile, Kiki intercepts Paulette's daily letters to him to prevent a reconciliation.
Renal finally learns about the letters from Rapp. Rapp recommends he get back together with Paulette and offers to take Kiki off his hands. Kiki mistakenly believes that Renal wants Paulette back, while Renal thinks in error that Kiki welcomes Rapp's attentions and greater wealth. Kiki decides to go, taking only what she came with, but then changes her mind and decides to fight for her love. After she threatens Paulette with a knife, Renal orders her to leave. Thinking quickly, Kiki pretends to fall into a coma, convincing a doctor that she is a victim of catalepsy, which the doctor states might last up to two years. Upon hearing this, Rapp makes a hasty departure. Despite Paulette's urging to leave for a performance, Renal decides he cannot leave Kiki alone. Once Paulette is gone, Kiki kisses Renal and confesses she loves him. He embraces her.",romantic comedy
606,Mantrap,"Ralph Prescott (Marmont) is a New York divorce lawyer tired of his clientele. Woodbury (Pallette), who runs a ladies hosiery business across the hall, suggests that they get away from the city and camp in Mantrap, Canada.
Bachelor Joe Easter (Torrence) runs a dry-goods store in Mantrap. Joe, wanting female company, goes to Minneapolis. In a barbershop there, backwoods Joe meets flirtatious manicurist Alverna (Bow), who agrees to meet Joe for dinner.
Prescott and Woodbury fight while camping. Joe separates them by taking Prescott back to Mantrap—where Prescott meets Alverna, now married to Joe and bored with backwoods life. Alverna throws a party and flirts, especially with Prescott, who's attracted to her but honorable enough to leave the next day. Alverna waits for Prescott's outbound canoe, stops him, and tells him that she's leaving with him. Alverna insults their Native American guide, who takes the canoe, leaving Prescott and Alverna on their own in the woods. They flag down a passing float plane, which lands in the lake. Alverna flirts with the pilot, angering Prescott. The pilot leaves them some food.
Joe tracks them and, after a few days, catches them. Prescott tells Joe he'll marry Alverna if Joe grants a divorce; Joe counters by telling Prescott that Alverna will never stop flirting. Alverna, shut out by the men who are planning her future, takes the canoe and leaves them both.
Prescott returns to his law practice, refreshed by his time in the woods. Joe, lonely in his Mantrap store, defends Alverna to his prudish neighbors—and Alverna returns to Joe, but keeps flirting.",romantic comedy
